Customer_ID,Annual_Income,Debt_to_Income_Ratio,Employment_Length_Years,Credit_Lines_Outstanding,Loan_Amount,FICO_Score,Previous_Delinquencies,Loan_Term_Months,Interest_Rate_%,Defaulted
CUST00050,148020,0.34,23,10,77084,561,2,60,13.93,1
CUST00051,146999,0.16,18,14,95002,323,4,60,19.08,0
CUST00052,156776,0.45,1,1,35473,740,0,60,9.5,0
CUST00053,22033,0.28,23,15,53188,632,0,60,10.5,1
CUST00054,82652,0.27,22,1,39693,656,4,48,12.19,0
CUST00055,37675,0.09,12,6,40537,849,2,60,5.64,0
CUST00056,156290,0.51,23,11,31657,732,0,36,9.65,0
CUST00057,100863,0.32,40,10,91635,564,2,48,13.2,0
CUST00058,107036,0.12,18,1,54870,630,2,60,10.66,0
CUST00059,133252,0.33,34,2,98993,393,5,36,19.11,0
CUST00060,65491,0.37,26,13,20140,637,0,36,10.61,0
CUST00061,96186,0.49,37,14,84629,755,3,60,11.59,0
CUST00062,162470,0.54,36,4,35563,413,6,48,21.05,1
CUST00063,83093,0.24,5,13,13115,633,0,36,9.65,0
CUST00064,57905,0.23,30,1,91062,407,2,60,16.41,1
CUST00065,167222,0.25,4,13,38553,635,0,36,9.69,0
CUST00066,149953,0.08,16,3,90847,597,7,60,14.56,1
CUST00067,64808,0.09,37,15,11063,592,7,60,14.75,0
CUST00068,140046,0.1,34,15,85788,766,6,36,9.83,0
CUST00069,85063,0.28,21,9,68819,389,8,48,20.9,0
CUST00070,169187,0.29,17,10,50586,658,2,48,10.91,0
CUST00071,123521,0.34,11,11,40555,449,3,60,17.07,0
CUST00072,52024,0.22,13,14,15392,323,5,36,19.76,0
CUST00073,38538,0.52,21,15,36988,638,0,48,11.79,0
CUST00074,53514,0.35,17,5,39695,418,8,48,20.83,1
CUST00075,192059,0.35,14,9,54820,822,7,48,11.31,1
CUST00076,48194,0.17,25,2,82318,376,8,36,20.3,1
CUST00077,173411,0.11,18,13,16240,499,8,60,17.64,1
CUST00078,112430,0.3,21,2,74082,312,7,60,22.54,1
CUST00079,140346,0.22,35,1,91781,594,6,60,15.05,0
CUST00080,61659,0.57,8,4,83083,399,6,36,21.6,0
CUST00081,100187,0.43,11,5,95156,390,3,60,19.08,0
CUST00082,31375,0.24,18,11,28904,793,0,60,6.66,0
CUST00083,123319,0.12,3,2,90043,373,8,36,19.97,1
CUST00084,38581,0.23,39,6,30659,678,2,48,9.99,0
CUST00085,79245,0.25,11,15,80857,584,5,60,14.8,0
CUST00086,90708,0.23,10,1,52675,335,4,36,18.88,1
CUST00087,29142,0.59,32,15,70342,458,0,60,16.77,1
CUST00088,45836,0.26,24,1,54887,447,3,60,16.47,0
CUST00089,36794,0.14,40,12,80872,426,6,48,17.57,1
CUST00090,30527,0.35,1,15,27383,307,6,60,22.35,1
CUST00091,77034,0.36,29,14,37583,474,4,48,16.88,0
CUST00092,91584,0.33,38,14,45929,850,3,36,7.74,0
CUST00093,50541,0.43,7,8,31125,507,6,60,18.62,1
CUST00094,66134,0.41,20,14,79203,592,4,48,14.71,1
CUST00095,31466,0.18,38,6,26006,437,6,60,18.15,1
CUST00096,78292,0.46,35,12,98256,427,8,48,21.51,1
CUST00097,84271,0.54,29,14,84164,334,1,36,19.28,0
CUST00098,40637,0.49,26,9,77889,303,7,36,23.75,1
CUST00099,169675,0.2,1,1,34237,367,7,36,20.04,0
CUST00100,31354,0.22,39,2,92796,548,1,48,12.05,1
CUST00101,60100,0.36,21,15,11999,729,4,60,11.82,0
CUST00102,170471,0.14,22,4,96267,600,6,36,13.77,0
CUST00103,163380,0.11,11,14,6100,522,0,36,11.04,0
CUST00104,88999,0.4,10,6,78870,575,1,36,12.9,0
CUST00105,33816,0.22,30,4,29185,732,6,36,11.53,1
CUST00106,148545,0.23,33,7,5198,667,5,36,12.33,1
CUST00107,114914,0.05,25,7,43671,768,2,48,6.59,0
CUST00108,23429,0.17,29,6,11070,572,1,48,11.13,1
CUST00109,133101,0.13,8,7,33800,678,7,48,12.69,0
CUST00110,126817,0.19,21,12,28360,360,8,48,20.81,0
CUST00111,113361,0.26,16,7,51061,540,3,36,13.94,0
CUST00112,186663,0.39,24,2,57893,490,6,60,18.67,1
CUST00113,110917,0.52,2,14,1617,313,5,48,22.38,1
CUST00114,102115,0.46,32,6,19137,393,5,60,20.65,1
CUST00115,110035,0.26,19,3,28691,847,3,36,7.25,0
CUST00116,45075,0.39,25,7,1643,486,8,48,19.66,1
CUST00117,98452,0.41,23,14,91540,326,6,48,21.91,0
CUST00118,40575,0.06,23,15,33852,358,6,48,18.41,1
CUST00119,55312,0.13,20,8,73166,692,0,48,7.49,0
CUST00120,139639,0.25,34,5,75519,754,7,36,11.99,1
CUST00121,193372,0.28,40,6,42544,690,0,48,8.73,0
CUST00122,186953,0.5,9,8,19211,698,5,36,13.82,1
CUST00123,75149,0.27,32,7,61286,484,4,48,15.95,0
CUST00124,38584,0.21,14,9,76782,546,6,36,15.51,1
CUST00125,78530,0.19,3,6,87286,751,2,60,8.58,0
CUST00126,165192,0.17,0,1,57346,753,6,36,10.68,1
CUST00127,122891,0.57,37,12,49830,519,5,60,18.78,1
CUST00128,50057,0.1,7,10,51042,501,5,36,14.91,1
CUST00129,132967,0.13,27,4,56450,773,8,60,11.82,1
CUST00130,149417,0.35,32,6,87034,714,0,36,8.77,0
CUST00131,175863,0.16,33,11,62409,634,5,36,12.49,0
CUST00132,140414,0.2,21,8,19939,339,6,48,19.95,1
CUST00133,69276,0.17,26,15,50727,419,0,60,14.26,0
CUST00134,101492,0.5,28,11,12887,316,4,48,21.45,0
CUST00135,48058,0.41,37,8,17267,530,5,48,16.76,1
CUST00136,110293,0.25,12,11,32138,620,0,36,10.02,0
CUST00137,90714,0.36,30,4,8820,586,8,48,17.24,0
CUST00138,23319,0.42,3,7,78916,365,3,60,19.54,1
CUST00139,182088,0.19,35,10,91575,715,8,60,13.57,0
CUST00140,103138,0.34,26,9,28635,458,2,36,15.67,0
CUST00141,83335,0.35,24,15,93384,418,4,48,18.03,0
CUST00142,27075,0.59,1,8,92297,626,1,36,13.31,0
CUST00143,28693,0.45,40,7,85378,546,2,36,14.63,1
CUST00144,40837,0.59,29,12,73032,328,2,36,20.51,1
CUST00145,27293,0.37,4,9,83964,403,1,60,16.91,0
CUST00146,193565,0.26,34,5,60568,336,1,60,17.49,1
CUST00147,199516,0.11,36,8,93418,814,4,60,7.97,1
CUST00148,72851,0.17,37,14,34678,410,0,60,14.46,1
CUST00149,44537,0.06,6,15,6939,803,8,48,10.11,0
CUST00150,163878,0.59,2,9,74899,661,7,60,17.24,0
CUST00151,25910,0.1,6,6,69410,829,6,48,8.46,0
CUST00152,95587,0.12,12,7,23871,780,5,48,8.99,0
CUST00153,24215,0.1,17,13,20938,804,4,60,8.1,0
CUST00154,116657,0.37,24,4,56697,560,5,36,15.79,0
CUST00155,170175,0.44,35,3,53298,492,8,48,19.93,1
CUST00156,106872,0.59,31,2,91196,512,3,36,17.19,1
CUST00157,104035,0.29,29,1,72761,789,0,48,6.65,0
CUST00158,58669,0.17,9,3,54793,400,1,36,14.88,0
CUST00159,167356,0.28,37,5,10686,352,3,36,18.21,1
CUST00160,67902,0.36,30,4,67322,642,8,36,16.02,1
CUST00161,90170,0.56,28,6,60392,501,0,60,15.59,1
CUST00162,54458,0.51,2,4,40937,742,3,60,12.04,0
CUST00163,105567,0.33,36,2,60918,313,7,60,22.76,1
CUST00164,135052,0.06,7,10,30417,805,5,36,7.96,0
CUST00165,149710,0.25,0,8,44443,542,6,48,15.92,0
CUST00166,125879,0.34,10,11,89277,455,7,48,19.24,0
CUST00167,30761,0.07,22,5,52185,689,2,36,8.47,0
CUST00168,135855,0.4,19,4,60300,556,2,48,14.01,0
CUST00169,70621,0.09,8,4,84028,559,0,60,10.57,1
CUST00170,94639,0.23,32,10,16935,377,0,60,15.66,0
CUST00171,23403,0.08,20,11,65383,624,2,60,10.47,1
CUST00172,71573,0.38,4,1,71412,767,5,48,11.35,1
CUST00173,57002,0.18,26,10,94490,451,4,60,16.45,1
CUST00174,182064,0.59,15,14,46257,499,4,60,18.68,0
CUST00175,63596,0.36,24,11,55418,581,2,48,13.15,0
CUST00176,160278,0.56,3,8,9876,755,0,48,9.55,0
CUST00177,76733,0.57,35,8,69343,645,3,36,14.13,1
CUST00178,194135,0.52,34,5,22388,674,5,48,14.5,0
CUST00179,74597,0.57,26,14,96594,476,7,36,20.62,1
CUST00180,134932,0.38,24,9,55866,557,5,60,16.43,0
CUST00181,104420,0.19,37,9,60230,637,3,48,11.27,1
CUST00182,30333,0.45,9,14,5711,440,0,36,15.55,0
CUST00183,176421,0.58,35,10,35472,690,2,60,13.03,1
CUST00184,184695,0.55,3,3,34911,673,2,48,12.66,0
CUST00185,85978,0.17,37,10,37263,308,8,36,21.79,0
CUST00186,38070,0.12,23,11,28316,731,2,60,8.46,1
CUST00187,150623,0.37,32,13,76458,604,8,48,16.93,0
CUST00188,55841,0.36,7,2,49144,522,3,60,15.64,1
CUST00189,66137,0.06,21,15,73116,813,4,48,7.09,0
CUST00190,44241,0.17,25,10,30077,832,1,60,5.95,0
CUST00191,35292,0.14,30,5,54415,408,4,48,16.56,1
CUST00192,194854,0.15,24,6,10592,674,4,36,10.84,0
CUST00193,56561,0.17,20,14,47856,812,1,60,6.39,0
CUST00194,160869,0.53,22,15,23628,316,1,48,19.59,1
CUST00195,92324,0.47,26,10,58747,652,3,36,13.18,0
CUST00196,134338,0.34,8,7,58494,765,4,60,10.87,0
CUST00197,59925,0.6,30,14,54676,775,8,48,15.04,0
CUST00198,66017,0.17,20,2,95515,660,0,48,8.51,0
CUST00199,84359,0.57,26,10,75547,795,6,60,13.46,0
CUST00200,36139,0.5,35,9,74605,505,4,60,17.83,0
CUST00201,114158,0.38,15,9,10664,743,5,48,11.87,0
CUST00202,112106,0.23,27,14,92277,626,5,60,13.73,0
CUST00203,195309,0.26,7,1,89338,516,0,36,12.37,1
CUST00204,190564,0.16,35,14,55397,316,3,60,18.53,0
CUST00205,86427,0.51,10,13,91712,348,5,36,21.53,1
CUST00206,138671,0.59,24,15,84501,511,0,60,15.62,0
CUST00207,92366,0.32,20,14,46218,550,1,36,12.81,0
CUST00208,187096,0.09,27,15,40361,460,8,60,18.33,0
CUST00209,131176,0.1,33,4,9510,329,7,36,20.07,0
CUST00210,166914,0.49,15,13,88868,658,7,60,16.51,1
CUST00211,145768,0.55,24,6,20439,732,4,48,12.77,0
CUST00212,124009,0.46,38,7,46905,552,8,48,18.78,0
CUST00213,177579,0.25,35,8,75607,786,0,36,6.4,0
CUST00214,168865,0.37,24,13,71692,832,3,36,8.45,0
CUST00215,87534,0.59,18,3,35231,783,1,60,10.38,0
CUST00216,46610,0.32,33,7,97347,437,7,60,19.97,1
CUST00217,172359,0.32,19,15,48372,780,7,60,12.49,0
CUST00218,174103,0.33,33,4,1602,608,3,48,13.02,0
CUST00219,35040,0.36,26,10,53224,692,5,36,12.83,0
CUST00220,114206,0.5,37,11,88249,378,8,48,22.9,1
CUST00221,79713,0.18,19,7,21673,389,2,36,15.9,0
CUST00222,188796,0.07,20,7,77354,424,5,48,16.35,1
CUST00223,145047,0.25,30,1,80958,800,8,60,12.19,1
CUST00224,187450,0.23,3,3,58805,798,8,48,11.57,0
CUST00225,87540,0.16,0,8,47847,631,7,48,13.96,0
CUST00226,91027,0.09,21,5,62851,660,2,36,9.27,0
CUST00227,114670,0.46,11,15,37490,560,1,48,13.71,0
CUST00228,180536,0.24,21,11,40770,430,5,60,18.08,1
CUST00229,21249,0.38,27,13,57922,743,0,60,8.87,1
CUST00230,92165,0.46,20,6,9023,645,2,60,13.05,0
CUST00231,35105,0.38,34,2,71057,793,5,36,10.78,0
CUST00232,154599,0.46,23,10,18008,413,6,60,20.91,0
CUST00233,161398,0.48,18,15,36562,495,3,48,16.69,1
CUST00234,47795,0.16,38,12,33575,437,5,48,16.79,1
CUST00235,36766,0.43,17,6,71535,381,2,60,18.57,1
CUST00236,94676,0.5,30,8,35441,746,5,36,12.77,1
CUST00237,104325,0.07,22,9,28348,759,2,36,6.95,0
CUST00238,74374,0.56,10,12,28188,690,8,60,17.07,0
CUST00239,32459,0.53,26,6,5191,459,2,60,17.67,0
CUST00240,76665,0.44,10,9,26303,333,1,60,19,1
CUST00241,35076,0.25,11,12,30945,555,2,60,13.34,1
CUST00242,146047,0.11,5,4,51355,523,4,48,13.81,1
CUST00243,42262,0.12,39,4,47662,638,0,48,8.59,0
CUST00244,58685,0.49,14,3,93261,750,3,36,11.2,1
CUST00245,189432,0.06,26,15,65996,605,4,36,11.63,0
CUST00246,61695,0.51,3,1,12223,440,4,60,19.33,0
CUST00247,121846,0.53,10,7,72189,614,3,48,14.49,0
CUST00248,179600,0.21,33,13,49732,561,6,60,15.69,0
CUST00249,118636,0.28,35,6,52341,342,8,36,21.92,1
CUST00250,71968,0.14,4,2,61884,660,5,60,12.27,1
CUST00251,167213,0.54,6,4,26311,739,2,60,11.64,0
CUST00252,180920,0.17,40,2,37518,641,2,60,10.82,0
CUST00253,107727,0.05,32,11,82493,847,5,60,7.47,0
CUST00254,162447,0.13,38,14,83575,529,1,36,11.74,0
CUST00255,160264,0.37,18,5,50634,629,4,60,14.08,1
CUST00256,115270,0.55,20,15,40240,831,2,36,9.21,0
CUST00257,69898,0.25,33,2,52056,726,7,48,12.61,0
CUST00258,188695,0.19,29,5,38024,413,1,60,15.25,0
CUST00259,95362,0.13,12,9,50919,509,1,36,12.18,0
CUST00260,170781,0.19,10,8,16474,402,7,48,19.19,1
CUST00261,173416,0.39,38,7,2919,677,7,60,15.29,1
CUST00262,22584,0.39,5,1,2051,736,4,60,11.91,0
CUST00263,124071,0.34,26,4,86140,668,7,60,15.09,1
CUST00264,136509,0.2,4,13,15011,775,8,48,11.84,0
CUST00265,143805,0.19,26,13,11645,336,7,36,20.63,1
CUST00266,168135,0.06,1,12,95328,599,7,48,13.86,1
CUST00267,48249,0.22,19,12,50133,569,6,60,15.59,0
CUST00268,150953,0.15,15,12,79455,688,7,48,12.63,0
CUST00269,184811,0.16,21,14,72557,815,6,36,9.24,0
CUST00270,120141,0.29,15,11,96479,433,6,60,19.12,0
CUST00271,182668,0.39,2,10,83261,578,1,36,12.75,0
CUST00272,129432,0.27,21,15,43868,787,7,36,11.43,0
CUST00273,63140,0.23,32,3,8873,470,3,48,15.23,1
CUST00274,186287,0.24,24,4,72281,708,8,36,13.62,0
CUST00275,166257,0.39,0,3,4315,370,2,36,17.99,1
CUST00276,132862,0.06,20,1,86078,335,3,36,16.82,0
CUST00277,182981,0.35,37,1,7323,628,0,48,10.64,0
CUST00278,136221,0.44,19,6,8220,312,5,48,21.76,1
CUST00279,88777,0.33,13,5,27048,395,2,36,16.97,1
CUST00280,114213,0.25,21,14,11531,491,7,36,17.73,0
CUST00281,122571,0.09,37,14,47021,522,0,60,11.38,0
CUST00282,159234,0.15,35,8,64429,478,3,60,14.92,1
CUST00283,52617,0.28,1,1,68056,372,3,36,17.77,1
CUST00284,157300,0.12,32,5,80914,331,1,36,15.98,0
CUST00285,34412,0.46,31,15,70684,503,4,60,17.55,1
CUST00286,152543,0.18,13,1,81304,372,5,36,18.37,0
CUST00287,123439,0.09,27,13,22553,536,7,36,15.47,0
CUST00288,54931,0.47,28,10,68196,397,1,36,17.34,0
CUST00289,87637,0.34,6,13,82808,542,3,60,15.04,1
CUST00290,78159,0.57,3,3,68027,572,1,36,14.33,1
CUST00291,104392,0.48,26,14,16327,317,8,36,24.07,1
CUST00292,60276,0.48,23,9,43638,767,7,60,14.05,0
CUST00293,163686,0.51,39,7,46606,654,8,36,16.96,0
CUST00294,124299,0.6,33,1,39264,384,5,48,21.47,0
CUST00295,111393,0.37,10,9,73184,829,7,48,11.32,0
CUST00296,32097,0.44,8,4,92256,679,6,48,14.45,1
CUST00297,106029,0.29,23,1,35425,655,0,48,9.57,0
CUST00298,78596,0.19,1,14,10643,813,4,36,8.13,0
CUST00299,159785,0.16,12,9,42652,676,8,48,13.68,0
CUST00300,182562,0.53,34,8,2423,425,5,60,20.51,0
CUST00301,181766,0.52,16,5,8603,802,4,48,11.01,0
CUST00302,95081,0.57,15,8,35263,421,7,60,22.32,1
CUST00303,70367,0.34,26,4,17647,574,3,60,14.34,1
CUST00304,62888,0.27,40,7,59160,478,6,48,17.48,1
CUST00305,199090,0.5,8,12,2223,393,2,60,18.87,1
CUST00306,140412,0.23,7,5,69993,367,2,60,17.28,0
CUST00307,171957,0.27,3,10,3031,816,0,60,6.4,0
CUST00308,169192,0.29,19,8,92636,433,1,60,15.62,0
CUST00309,118485,0.6,2,15,73826,483,7,48,20.71,1
CUST00310,93616,0.26,33,4,93491,355,5,36,19.38,0
CUST00311,164655,0.47,25,10,43659,699,3,60,12.65,0
CUST00312,35200,0.55,2,10,53256,598,6,36,17.1,1
CUST00313,29947,0.14,20,15,86116,649,5,36,12.01,0
CUST00314,45933,0.25,35,3,65761,357,8,36,21.36,1
CUST00315,23227,0.11,9,2,21635,322,4,48,18.2,1
CUST00316,89279,0.35,32,12,29903,402,6,48,19.77,0
CUST00317,137900,0.18,16,10,19448,717,0,60,7.84,0
CUST00318,171740,0.26,12,8,6975,491,5,48,16.41,0
CUST00319,80138,0.27,20,12,26518,585,5,60,14.94,1
CUST00320,102318,0.25,18,11,97420,484,5,36,16.49,0
CUST00321,179531,0.34,37,12,3183,619,0,36,10.76,0
CUST00322,170518,0.08,30,9,53080,717,1,60,7.74,0
CUST00323,29378,0.48,38,13,55616,330,3,48,20.29,1
CUST00324,94785,0.41,21,3,89082,689,6,60,14.49,1
CUST00325,77227,0.06,21,8,78747,490,1,60,12.53,0
CUST00326,148272,0.15,8,12,38864,530,5,60,15.18,0
CUST00327,62193,0.54,3,15,35148,542,2,36,15.44,1
CUST00328,137025,0.47,21,4,6468,534,4,60,16.95,0
CUST00329,167551,0.53,3,5,27997,431,1,48,17.08,0
CUST00330,67942,0.46,30,14,41595,444,0,60,16.04,0
CUST00331,176305,0.28,17,14,80152,504,6,36,16.99,1
CUST00332,168187,0.15,31,13,91859,378,4,48,17.3,0
CUST00333,30808,0.2,11,9,59874,678,3,36,10.45,1
CUST00334,69923,0.1,4,4,48178,804,7,36,9.7,0
CUST00335,183904,0.16,7,4,59679,503,6,36,16.05,0
CUST00336,30919,0.38,26,3,68903,753,0,48,8.16,0
CUST00337,38613,0.2,35,3,83360,564,8,48,16.44,0
CUST00338,68089,0.31,11,5,97249,348,7,60,21.83,0
CUST00339,97636,0.52,33,14,58543,382,7,36,22.27,1
CUST00340,91829,0.13,14,5,42603,365,1,36,15.32,1
CUST00341,60674,0.52,1,4,79588,511,3,36,16.66,1
CUST00342,125514,0.32,37,6,44799,479,3,48,15.75,0
CUST00343,147075,0.09,17,3,73665,591,5,36,12.87,1
CUST00344,67327,0.34,5,15,60408,735,5,60,12.23,0
CUST00345,65839,0.5,3,4,14979,676,4,60,14.1,0
CUST00346,104866,0.11,12,13,95966,338,5,60,19.05,1
CUST00347,178199,0.5,5,5,72246,526,3,48,16.17,0
CUST00348,92273,0.2,29,4,4388,389,3,36,16.76,1
CUST00349,169603,0.24,37,1,56223,417,1,60,15.57,0
CUST00350,147262,0.14,0,5,12094,559,2,60,12.37,0
CUST00351,91717,0.32,39,1,90136,312,8,36,22.9,1
CUST00352,148031,0.16,33,4,10306,570,1,36,11.09,0
CUST00353,59748,0.5,21,4,68351,421,8,36,21.96,1
CUST00354,117061,0.21,28,4,13574,578,0,48,10.61,0
CUST00355,67506,0.1,10,9,94041,350,5,48,18.21,1
CUST00356,196404,0.4,5,6,33980,713,0,60,9.69,0
CUST00357,34221,0.36,25,4,94273,595,6,48,15.64,1
CUST00358,190443,0.25,20,4,56996,497,0,36,12.7,0
CUST00359,186331,0.36,23,3,60748,559,5,36,15.73,0
CUST00360,151162,0.32,26,13,70143,300,3,60,20.16,0
CUST00361,134949,0.16,1,15,49954,588,4,60,13.3,0
CUST00362,120088,0.5,22,9,35141,745,0,36,9.29,1
CUST00363,122950,0.42,16,9,97453,349,5,36,20.79,1
CUST00364,195846,0.37,23,9,48124,737,2,36,9.83,0
CUST00365,25425,0.33,8,13,64517,669,1,36,10.29,0
CUST00366,122270,0.34,4,2,86843,724,5,48,11.97,1
CUST00367,188215,0.28,22,4,47808,402,7,48,19.91,0
CUST00368,27735,0.39,9,12,44697,512,2,36,14.89,0
CUST00369,78853,0.38,13,11,20483,381,6,48,20.47,1
CUST00370,89039,0.19,5,1,13015,674,5,60,12.36,0
CUST00371,98869,0.11,3,14,49769,513,2,48,12.63,1
CUST00372,42116,0.47,7,2,16723,793,6,60,12.7,1
CUST00373,191059,0.06,14,6,21201,804,1,48,5.18,0
CUST00374,153146,0.16,24,10,78167,645,1,48,9.45,0
CUST00375,67681,0.24,4,6,59498,421,1,60,15.48,1
CUST00376,34681,0.11,29,7,39449,477,7,36,16.92,0
CUST00377,93227,0.41,38,12,99185,770,3,48,10.13,0
CUST00378,176420,0.19,9,3,52202,828,6,36,9.2,0
CUST00379,124647,0.57,9,9,2072,796,6,60,13.44,0
CUST00380,103974,0.26,2,1,61191,711,3,36,10.21,0
CUST00381,35423,0.08,9,6,75595,754,6,36,9.93,0
CUST00382,63027,0.51,36,2,65024,408,6,36,20.92,1
CUST00383,145571,0.12,10,9,77944,711,5,36,10.49,0
CUST00384,85076,0.51,30,13,67053,749,5,60,13.28,0
CUST00385,136723,0.48,27,9,61886,344,8,60,23.98,1
CUST00386,97772,0.06,24,6,86729,749,0,36,5.68,0
CUST00387,145161,0.52,30,4,11932,498,2,48,16.24,0
CUST00388,28344,0.39,36,15,63678,598,0,48,11.62,0
CUST00389,153173,0.42,14,14,3419,560,6,36,16.89,0
CUST00390,76786,0.15,29,7,76731,446,8,48,18.61,0
CUST00391,123627,0.59,31,10,20474,568,5,48,17.37,1
CUST00392,77680,0.58,24,5,63719,783,2,48,10.5,0
CUST00393,125365,0.39,38,10,60476,593,6,36,15.93,1
CUST00394,65630,0.56,24,9,41160,712,7,60,15.89,0
CUST00395,159121,0.25,27,7,31481,823,6,36,9.79,0
CUST00396,134603,0.49,7,6,37086,841,5,60,11.12,0
CUST00397,47297,0.29,13,2,42205,397,3,36,17.3,0
CUST00398,120816,0.6,25,8,71627,592,0,48,13.43,0
CUST00399,163994,0.2,15,14,7776,320,8,48,21.76,0
CUST00400,20607,0.11,37,13,44789,789,8,36,10.81,1
CUST00401,70816,0.47,19,3,58225,545,6,48,17.61,0
CUST00402,116644,0.13,13,15,52842,426,5,60,17.29,1
CUST00403,58958,0.5,2,5,41304,522,2,60,16.06,1
CUST00404,49458,0.52,13,15,39694,433,6,36,20.46,1
CUST00405,181109,0.26,33,10,33621,370,5,48,19.05,1
CUST00406,124571,0.12,34,8,16179,671,3,48,9.97,0
CUST00407,118530,0.53,36,1,55926,788,1,48,9.29,1
CUST00408,181070,0.15,28,2,38871,735,1,48,7.41,0
CUST00409,75879,0.31,35,2,56705,824,8,48,11.65,0
CUST00410,67206,0.57,11,4,89702,564,3,48,15.9,1
CUST00411,20407,0.36,6,4,9183,766,6,36,11.91,0
CUST00412,77672,0.26,28,7,82622,611,5,36,13.79,0
CUST00413,47990,0.39,20,1,73207,517,1,36,14.09,0
CUST00414,97988,0.07,17,13,25403,712,8,36,12.17,0
CUST00415,52824,0.27,19,7,62013,492,1,36,13.67,1
CUST00416,124345,0.13,25,10,17863,606,1,36,10.06,1
CUST00417,96148,0.37,29,1,71365,614,6,60,15.81,1
CUST00418,58326,0.21,7,11,82069,599,3,48,12.26,0
CUST00419,164228,0.29,10,14,84632,791,0,60,7.11,0
CUST00420,192811,0.24,14,9,27354,830,2,36,6.76,0
CUST00421,138968,0.59,4,12,6453,814,3,36,10.61,1
CUST00422,86244,0.37,17,14,90122,814,4,48,9.55,0
CUST00423,38989,0.4,2,13,48082,539,8,48,18.59,1
CUST00424,114747,0.24,5,13,47343,767,8,36,12.33,0
CUST00425,127566,0.57,19,6,63863,683,4,60,14.5,1
CUST00426,190070,0.26,38,13,41035,778,1,36,7.35,1
CUST00427,42631,0.41,12,9,35093,435,0,48,15.33,1
CUST00428,131183,0.48,13,13,18040,330,0,48,18.19,0
CUST00429,177710,0.17,11,8,91687,424,3,60,16.25,0
CUST00430,129756,0.21,24,12,79869,717,0,36,7.58,0
